=== CG-GPU Cray study ===
matrix=src/Dubcova2.pm ranks=4 repeats=5 seed=12345 bind=1
launch: srun --jobid=8448 -N1 -n 4 --gpus-per-node=4 --cpu-bind=none ./gpu_bind.sh ./cg_gpu

method                  run  iters     solve      comm      halo    allred   compute
staged                    1    172    0.1658    0.0979    0.0816    0.0163    0.0678
staged                    2    172    0.1746    0.1079    0.0872    0.0207    0.0666
staged                    3    172    0.1777    0.1153    0.0903    0.0249    0.0624
staged                    4    172    0.1746    0.1044    0.0883    0.0162    0.0701
staged                    5    172    0.1681    0.1065    0.0835    0.0230    0.0616
staged             AVG(n=5)      -    0.1722    0.1064    0.0862    0.0202    0.0657

isend                     1    172    0.0946    0.0155    0.0121    0.0035    0.0790
isend                     2    172    0.0968    0.0210    0.0172    0.0037    0.0758
isend                     3    172    0.0966    0.0193    0.0160    0.0033    0.0773
isend                     4    172    0.1001    0.0179    0.0143    0.0036    0.0822
isend                     5    172    0.0982    0.0171    0.0132    0.0039    0.0811
isend              AVG(n=5)      -    0.0973    0.0182    0.0146    0.0036    0.0791

rccl                      1    172    0.0924    0.0123    0.0093    0.0030    0.0800
rccl                      2    172    0.0922    0.0131    0.0102    0.0029    0.0790
rccl                      3    172    0.0928    0.0127    0.0099    0.0028    0.0801
rccl                      4    172    0.0928    0.0136    0.0107    0.0029    0.0792
rccl                      5    172    0.0926    0.0128    0.0096    0.0032    0.0799
rccl               AVG(n=5)      -    0.0926    0.0129    0.0099    0.0030    0.0796

alltoallv_staged          1    172    0.1251    0.0535    0.0446    0.0089    0.0717
alltoallv_staged          2    172    0.1264    0.0545    0.0429    0.0115    0.0719
alltoallv_staged          3    172    0.1238    0.0522    0.0414    0.0108    0.0716
alltoallv_staged          4    172    0.1271    0.0558    0.0447    0.0112    0.0713
alltoallv_staged          5    172    0.1279    0.0573    0.0461    0.0112    0.0706
alltoallv_staged   AVG(n=5)      -    0.1261    0.0547    0.0439    0.0107    0.0714

alltoallv                 1    172    0.0978    0.0209    0.0172    0.0038    0.0768
alltoallv                 2    172    0.0988    0.0232    0.0198    0.0034    0.0756
alltoallv                 3    172    0.0960    0.0170    0.0135    0.0035    0.0789
alltoallv                 4    172    0.0964    0.0176    0.0144    0.0032    0.0788
alltoallv                 5    172    0.0966    0.0170    0.0132    0.0038    0.0796
alltoallv          AVG(n=5)      -    0.0971    0.0191    0.0156    0.0035    0.0779

=== done ===
