=== CG-GPU Cray study ===
matrix=src/Dubcova2.pm ranks=4 repeats=3 seed=12345 bind=0
launch: srun --jobid=8448 -N1 -n 4 --gpus-per-node=4 ./cg_gpu

method                  run  iters     solve      comm      halo    allred   compute
staged                    1    172    0.1789    0.1151    0.0909    0.0242    0.0638
staged                    2    172    0.1791    0.1109    0.0913    0.0196    0.0683
staged                    3    172    0.1806    0.1096    0.0914    0.0182    0.0711
staged             AVG(n=3)      -    0.1795    0.1119    0.0912    0.0207    0.0677

isend                     1    172    0.1017    0.0255    0.0202    0.0053    0.0762
isend                     2    172    0.0997    0.0217    0.0166    0.0051    0.0780
isend                     3    172    0.1008    0.0216    0.0162    0.0054    0.0792
isend              AVG(n=3)      -    0.1007    0.0229    0.0177    0.0053    0.0778

rccl                      1    172    0.0928    0.0122    0.0090    0.0032    0.0806
rccl                      2    172    0.0932    0.0131    0.0104    0.0028    0.0800
rccl                      3    172    0.0929    0.0122    0.0094    0.0028    0.0807
rccl               AVG(n=3)      -    0.0930    0.0125    0.0096    0.0029    0.0804

alltoallv_staged          1    172    0.1398    0.0708    0.0566    0.0143    0.0689
alltoallv_staged          2    172    0.1389    0.0722    0.0541    0.0181    0.0667
alltoallv_staged          3    172    0.1318    0.0658    0.0486    0.0172    0.0660
alltoallv_staged   AVG(n=3)      -    0.1368    0.0696    0.0531    0.0165    0.0672

alltoallv                 1    172    0.1003    0.0200    0.0151    0.0048    0.0803
alltoallv                 2    172    0.0985    0.0196    0.0150    0.0046    0.0789
alltoallv                 3    172    0.1000    0.0215    0.0165    0.0049    0.0785
alltoallv          AVG(n=3)      -    0.0996    0.0204    0.0155    0.0048    0.0792

=== done ===
