"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
0,"void test_function_kernel<double>(double*, int, int, int, double, double, double) [clone .kd]",8,0,0,2046349,2046349,134217728,256,0,0,16,0,32,64,"0x0","0x7f28c7c85580",1915914098823546,1915914098849134,1915914099980017,1915914100004417,1130883
1,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,1,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914098854846,1915914099980017,1915914102590584,1915914102606418,2610567
2,"__amd_rocclr_fillBufferAligned.kd",8,0,2,2046349,2046349,256,256,0,0,12,4,32,64,"0x0","0x7f28bb235a80",1915914098918976,1915914102590584,1915914102596024,1915914102620898,5440
3,"void check_kernel<double>(int*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,3,2046349,2046349,134217728,256,0,0,12,4,32,64,"0x0","0x7f28c7c85600",1915914098930396,1915914102596024,1915914103628027,1915914103641641,1032003
4,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,6,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914105450597,1915914105463713,1915914108071721,1915914108087477,2608008
5,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,9,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914108110237,1915914108119401,1915914110724209,1915914110742128,2604808
6,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,12,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914110758858,1915914110768209,1915914113373497,1915914113392208,2605288
7,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,15,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914113397518,1915914113409817,1915914116015105,1915914116031978,2605288
8,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,18,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914116049169,1915914116058145,1915914118662953,1915914118684589,2604808
9,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,21,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914118689849,1915914118699913,1915914121306161,1915914121324849,2606248
10,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,24,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914121329979,1915914121340881,1915914123943129,1915914123962460,2602248
11,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,27,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914123967720,1915914123989209,1915914126593377,1915914126609710,2604168
12,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,30,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914126630450,1915914126639617,1915914129241385,1915914129259560,2601768
13,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,33,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914129264690,1915914129292745,1915914131896432,1915914131913611,2603687
14,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,36,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914131931311,1915914131940113,1915914134539000,1915914134554381,2598887
15,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,39,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914134570931,1915914134580601,1915914137187648,1915914137203872,2607047
16,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,42,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914137210612,1915914137218529,1915914139827336,1915914139841252,2608807
17,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,45,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914139856072,1915914139866536,1915914142471984,1915914142488142,2605448
18,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,48,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914142493522,1915914142517904,1915914145123992,1915914145138473,2606088
19,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,51,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914145155562,1915914145164632,1915914147772160,1915914147786233,2607528
20,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,54,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914147801863,1915914147811040,1915914150419368,1915914150436203,2608328
21,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,57,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914150442353,1915914150459368,1915914153070576,1915914153084414,2611208
22,"void laplacian_kernel<double>(double*, double const*, int, int, int, double, double, double, double) [clone .kd]",8,0,60,2046349,2046349,134217728,256,0,0,24,0,32,64,"0x0","0x7f28c7c855c0",1915914153100943,1915914153110096,1915914155716344,1915914155736564,2606248
