"Name","Calls","TotalDurationNs","AverageNs","Percentage"
"compute_fd_z_kernel",100,373817171,3738171,29.49226402403546
"compute_fd_y_kernel",100,110226265,1102262,8.696288886535122
"compute_fd_xyz_lds_window_vec_kernel",100,108355616,1083556,8.548704242264465
"compute_fd_x_kernel",100,103380520,1033805,8.156194598086236
"compute_fd_y_vec_kernel",100,94578693,945786,7.461775438357791
"compute_fd_z_window_kernel",100,94258894,942588,7.436544931911573
"compute_fd_z_window_vec_kernel",100,92955823,929558,7.3337392906638526
"compute_fd_x_vec_kernel",100,86749469,867494,6.844089683865484
"compute_fd_xy_lds_vec_kernel",100,86270025,862700,6.806264002945278
"compute_fd_y_lds_vec_kernel",100,84404540,844045,6.659086771878818
"max_absval_gpu_kernel",10,14065056,1406505,1.1096610248137695
"initialize_polynomial_kernel",1,11496400,11496400,0.9070071961084989
"__amd_rocclr_fillBufferAligned.kd",12,6950766,579230,0.5483799085336528
