$n_w$,Bandwidth,Read,Write,bw
1,295.091,3672.252,536.057,1168.774
2,431.342,2385.232,535.544,1165.928
4,628.455,1517.364,534.872,1197.914
8,818.587,1039.359,534.464,1198.026
16,948.654,797.031,534.483,1176.908
24,1016.91,716.076,534.461,1184.158
32,1053.84,669.271,534.523,1181.311
40,1077.26,644.435,534.523,1180.182
48,1095.21,627.493,534.512,1185.501
56,1100.82,618.602,534.525,1185.264
64,1117.37,603.266,534.566,1185.725
72,1120.91,601.876,534.597,1188.342
80,1136.62,593.928,534.528,1196.356
96,1151.06,584.551,534.532,1201.636
112,1162.69,576.171,534.543,1204.760
128,1159.67,570.133,534.571,1197.037
144,1167.11,569.230,534.558,1201.829
160,1161.98,570.113,534.554,1197.845
176,1163.53,561.520,534.565,1189.826
192,1162.71,561.815,534.579,1189.359
208,1174.25,561.814,534.578,1201.091
224,1166.45,561.792,534.563,1192.487
288,1144.15,553.418,534.591,1160.094
320,1159.46,553.387,534.579,1176.596
384,1138.98,553.309,534.614,1155.960
448,1072.57,553.207,534.624,1086.861
512,1021.63,545.266,534.637,1029.147
