Grid size,fd_z ,fd_z (aligned),window fd_z,window fd_z (aligned)
64,13.96,14.00,8.30,8.42
74,20.73,20.78,10.99,10.92
84,29.28,31.29,13.87,14.19
94,35.73,40.27,17.49,17.64
104,42.30,49.47,21.19,21.39
114,47.19,56.91,25.41,25.85
124,54.41,72.75,29.47,33.11
134,52.27,55.68,30.22,31.51
144,53.41,63.87,34.25,36.66
154,58.23,68.90,38.87,44.07
164,62.90,71.03,43.93,47.21
174,62.76,75.24,48.65,53.53
184,60.35,80.73,54.46,62.46
194,53.67,67.78,50.94,57.14
204,57.93,70.96,54.33,61.38
214,59.27,73.67,56.67,62.25
224,59.48,77.34,56.83,67.97
234,63.95,83.36,62.16,79.09
244,68.23,87.21,68.19,87.02
254,69.41,91.71,68.14,90.75
264,66.35,82.61,58.40,84.10
274,68.52,80.86,65.24,78.85
284,71.44,84.46,71.94,82.68
294,70.29,86.83,64.84,97.00
304,67.19,93.29,62.12,108.81
314,70.09,94.17,68.52,106.24
324,64.45,79.75,62.66,94.01
334,64.15,83.01,62.31,95.92
344,56.94,85.55,60.57,99.71
354,65.74,86.96,64.00,109.89
364,69.03,87.28,73.72,112.73
374,62.53,89.55,63.93,117.61
384,62.58,95.33,63.59,135.08
394,60.83,74.27,63.77,107.58
404,59.29,70.84,68.55,105.67
414,54.60,69.84,63.67,110.07
424,47.03,66.01,60.57,127.47
434,45.03,65.33,61.33,122.10
444,42.73,63.66,66.43,125.32
454,36.92,43.26,57.00,98.43
464,33.43,42.22,52.63,106.34
474,32.91,39.62,58.00,100.98
484,31.27,37.64,58.98,109.53
494,28.86,36.96,58.04,111.93
504,26.41,35.93,58.26,121.53
514,26.73,31.75,55.61,105.16
524,26.98,31.85,60.13,108.31
534,24.73,29.28,56.45,106.06
544,23.67,28.60,52.92,113.20
554,24.35,31.40,58.05,119.68
564,23.84,31.15,61.73,122.40
574,22.53,30.13,60.37,125.02
584,21.35,27.58,45.26,117.70
594,20.39,26.72,47.62,111.76
604,21.48,26.90,54.18,114.23
614,21.19,28.93,48.69,122.99
624,20.64,29.34,47.28,130.76
634,22.43,29.40,52.98,127.80
644,21.78,27.02,56.36,106.82
654,21.52,27.67,51.12,112.81
664,22.30,27.02,47.56,114.89
674,21.44,28.81,52.66,119.51
684,21.73,29.17,59.47,121.69
694,21.63,29.13,54.28,123.93
704,21.28,29.61,50.20,129.49
714,20.94,27.45,48.63,116.55
724,21.25,26.96,55.24,115.13
734,20.81,27.31,49.19,117.32
744,20.90,29.24,47.98,128.32
754,20.82,29.10,50.44,127.04
764,21.55,29.53,59.55,129.37
774,22.42,27.57,51.21,113.63
784,22.61,28.00,47.66,119.01
794,22.64,27.41,51.60,116.96
804,22.45,28.93,58.05,123.58
814,22.12,29.27,52.76,125.89
824,23.66,29.54,50.61,131.21
834,20.94,27.11,47.51,116.65
844,21.33,27.73,53.09,120.21
854,20.78,27.31,47.79,118.95
864,20.90,27.58,45.57,123.80
874,21.19,29.16,48.63,127.90
884,21.35,29.29,55.79,129.26
894,21.51,29.46,54.39,131.00
904,21.87,27.93,47.85,117.73
914,21.73,27.12,50.28,114.17
924,21.65,27.66,57.45,120.51
934,21.85,29.17,51.68,125.05
944,21.71,29.60,48.83,128.85
954,21.80,29.38,54.63,130.63
964,21.81,27.96,57.65,120.82
974,21.33,28.20,49.84,122.49
984,21.36,26.79,47.57,119.62
994,21.28,29.16,50.36,127.28
1004,21.52,29.51,57.99,128.39
1014,21.93,29.51,50.86,130.13
1024,22.55,29.56,48.05,133.44
1034,22.17,28.08,48.53,121.91
1044,22.05,27.64,56.34,121.85
1054,22.00,27.86,49.31,123.38
1064,21.84,29.45,47.63,130.80
1074,21.87,29.38,50.99,130.94
1084,21.87,29.50,59.35,132.19
1094,20.39,27.93,47.70,122.67
1104,19.48,28.19,45.16,126.40
1114,20.89,27.84,47.86,123.25
1124,21.09,29.17,54.42,128.40
1134,21.14,29.43,48.49,129.71
1144,23.41,29.57,47.63,133.55
1154,22.05,28.07,49.27,123.65
1164,21.89,28.27,56.64,124.66
1174,21.96,27.91,49.62,124.06
1184,22.03,28.18,47.77,127.41
1194,22.14,29.45,50.37,130.53
